fold,class_name,train_count,val_count,total_class_samples,val_ratio
0,barretts,33,8,41,0.195
0,barretts-short-segment,42,11,53,0.208
0,bbps-0-1,517,129,646,0.2
0,bbps-2-3,919,229,1148,0.199
0,cecum,807,202,1009,0.2
0,dyed-lifted-polyps,801,201,1002,0.201
0,dyed-resection-margins,791,198,989,0.2
0,esophagitis-a,322,81,403,0.201
0,esophagitis-b-d,208,52,260,0.2
0,hemorrhoids,5,1,6,0.167
0,ileum,7,2,9,0.222
0,impacted-stool,105,26,131,0.198
0,polyps,822,206,1028,0.2
0,pylorus,800,199,999,0.199
0,retroflex-rectum,313,78,391,0.199
0,retroflex-stomach,611,153,764,0.2
0,ulcerative-colitis-grade-0-1,28,7,35,0.2
0,ulcerative-colitis-grade-1,161,40,201,0.199
0,ulcerative-colitis-grade-1-2,9,2,11,0.182
0,ulcerative-colitis-grade-2,354,89,443,0.201
0,ulcerative-colitis-grade-2-3,22,6,28,0.214
0,ulcerative-colitis-grade-3,107,26,133,0.195
0,z-line,745,187,932,0.201
1,barretts,32,9,41,0.22
1,barretts-short-segment,43,10,53,0.189
1,bbps-0-1,517,129,646,0.2
1,bbps-2-3,919,229,1148,0.199
1,cecum,807,202,1009,0.2
1,dyed-lifted-polyps,801,201,1002,0.201
1,dyed-resection-margins,791,198,989,0.2
1,esophagitis-a,322,81,403,0.201
1,esophagitis-b-d,208,52,260,0.2
1,hemorrhoids,4,2,6,0.333
1,ileum,7,2,9,0.222
1,impacted-stool,105,26,131,0.198
1,polyps,823,205,1028,0.199
1,pylorus,799,200,999,0.2
1,retroflex-rectum,313,78,391,0.199
1,retroflex-stomach,611,153,764,0.2
1,ulcerative-colitis-grade-0-1,28,7,35,0.2
1,ulcerative-colitis-grade-1,160,41,201,0.204
1,ulcerative-colitis-grade-1-2,9,2,11,0.182
1,ulcerative-colitis-grade-2,354,89,443,0.201
1,ulcerative-colitis-grade-2-3,23,5,28,0.179
1,ulcerative-colitis-grade-3,107,26,133,0.195
1,z-line,746,186,932,0.2
2,barretts,33,8,41,0.195
2,barretts-short-segment,43,10,53,0.189
2,bbps-0-1,516,130,646,0.201
2,bbps-2-3,918,230,1148,0.2
2,cecum,807,202,1009,0.2
2,dyed-lifted-polyps,802,200,1002,0.2
2,dyed-resection-margins,792,197,989,0.199
2,esophagitis-a,322,81,403,0.201
2,esophagitis-b-d,208,52,260,0.2
2,hemorrhoids,5,1,6,0.167
2,ileum,8,1,9,0.111
2,impacted-stool,104,27,131,0.206
2,polyps,823,205,1028,0.199
2,pylorus,799,200,999,0.2
2,retroflex-rectum,313,78,391,0.199
2,retroflex-stomach,611,153,764,0.2
2,ulcerative-colitis-grade-0-1,28,7,35,0.2
2,ulcerative-colitis-grade-1,161,40,201,0.199
2,ulcerative-colitis-grade-1-2,8,3,11,0.273
2,ulcerative-colitis-grade-2,354,89,443,0.201
2,ulcerative-colitis-grade-2-3,23,5,28,0.179
2,ulcerative-colitis-grade-3,106,27,133,0.203
2,z-line,746,186,932,0.2
3,barretts,33,8,41,0.195
3,barretts-short-segment,42,11,53,0.208
3,bbps-0-1,517,129,646,0.2
3,bbps-2-3,918,230,1148,0.2
3,cecum,807,202,1009,0.2
3,dyed-lifted-polyps,802,200,1002,0.2
3,dyed-resection-margins,791,198,989,0.2
3,esophagitis-a,323,80,403,0.199
3,esophagitis-b-d,208,52,260,0.2
3,hemorrhoids,5,1,6,0.167
3,ileum,7,2,9,0.222
3,impacted-stool,105,26,131,0.198
3,polyps,822,206,1028,0.2
3,pylorus,799,200,999,0.2
3,retroflex-rectum,313,78,391,0.199
3,retroflex-stomach,611,153,764,0.2
3,ulcerative-colitis-grade-0-1,28,7,35,0.2
3,ulcerative-colitis-grade-1,161,40,201,0.199
3,ulcerative-colitis-grade-1-2,9,2,11,0.182
3,ulcerative-colitis-grade-2,355,88,443,0.199
3,ulcerative-colitis-grade-2-3,22,6,28,0.214
3,ulcerative-colitis-grade-3,106,27,133,0.203
3,z-line,746,186,932,0.2
4,barretts,33,8,41,0.195
4,barretts-short-segment,42,11,53,0.208
4,bbps-0-1,517,129,646,0.2
4,bbps-2-3,918,230,1148,0.2
4,cecum,808,201,1009,0.199
4,dyed-lifted-polyps,802,200,1002,0.2
4,dyed-resection-margins,791,198,989,0.2
4,esophagitis-a,323,80,403,0.199
4,esophagitis-b-d,208,52,260,0.2
4,hemorrhoids,5,1,6,0.167
4,ileum,7,2,9,0.222
4,impacted-stool,105,26,131,0.198
4,polyps,822,206,1028,0.2
4,pylorus,799,200,999,0.2
4,retroflex-rectum,312,79,391,0.202
4,retroflex-stomach,612,152,764,0.199
4,ulcerative-colitis-grade-0-1,28,7,35,0.2
4,ulcerative-colitis-grade-1,161,40,201,0.199
4,ulcerative-colitis-grade-1-2,9,2,11,0.182
4,ulcerative-colitis-grade-2,355,88,443,0.199
4,ulcerative-colitis-grade-2-3,22,6,28,0.214
4,ulcerative-colitis-grade-3,106,27,133,0.203
4,z-line,745,187,932,0.201
