Class_Name,Precision (%),Recall (%),F1-Score (%),Support (Số mẫu)
barretts,98.7,95.1,96.9,82
barretts-short-segment,93.3,97.2,95.2,72
bbps-0-1,96.2,95.1,95.7,81
bbps-2-3,94.0,96.9,95.5,65
cecum,97.6,93.1,95.3,87
dyed-lifted-polyps,95.2,95.2,95.2,62
dyed-resection-margins,95.2,92.3,93.8,65
esophagitis-a,92.4,94.8,93.6,77
esophagitis-b-d,93.8,98.4,96.1,62
hemorrhoids,93.4,95.0,94.2,60
ileum,93.1,91.5,92.3,59
impacted-stool,95.6,92.9,94.2,70
polyps,94.1,94.1,94.1,68
pylorus,90.3,96.6,93.3,58
retroflex-rectum,98.5,86.7,92.2,75
retroflex-stomach,87.1,94.7,90.8,57
ulcerative-colitis-grade-0-1,95.3,95.3,95.3,86
ulcerative-colitis-grade-1,91.5,91.5,91.5,59
ulcerative-colitis-grade-1-2,92.1,94.6,93.3,74
ulcerative-colitis-grade-2,93.3,90.3,91.8,62
ulcerative-colitis-grade-2-3,91.5,94.2,92.9,69
ulcerative-colitis-grade-3,91.8,91.8,91.8,73
z-line,93.5,93.5,93.5,77
