class_name,precision,recall,f1_score,support
barretts,0.0,0.0,0.0,6.0
barretts-short-segment,25.0,12.5,16.67,8.0
bbps-0-1,100.0,97.94,98.96,97.0
bbps-2-3,97.14,98.84,97.98,172.0
cecum,97.4,98.68,98.04,152.0
dyed-lifted-polyps,93.04,97.35,95.15,151.0
dyed-resection-margins,97.24,94.63,95.92,149.0
esophagitis-a,63.93,63.93,63.93,61.0
esophagitis-b-d,68.57,61.54,64.86,39.0
hemorrhoids,0.0,0.0,0.0,1.0
ileum,0.0,0.0,0.0,1.0
impacted-stool,87.5,73.68,80.0,19.0
polyps,99.31,93.51,96.32,154.0
pylorus,99.34,100.0,99.67,150.0
retroflex-rectum,90.62,100.0,95.08,58.0
retroflex-stomach,100.0,98.26,99.12,115.0
ulcerative-colitis-grade-0-1,0.0,0.0,0.0,5.0
ulcerative-colitis-grade-1,51.43,60.0,55.38,30.0
ulcerative-colitis-grade-1-2,0.0,0.0,0.0,1.0
ulcerative-colitis-grade-2,70.67,79.1,74.65,67.0
ulcerative-colitis-grade-2-3,0.0,0.0,0.0,4.0
ulcerative-colitis-grade-3,62.5,50.0,55.56,20.0
z-line,88.44,92.86,90.59,140.0
