class_name,precision,recall,f1_score,support
barretts,42.86,50.0,46.15,6.0
barretts-short-segment,28.57,25.0,26.67,8.0
bbps-0-1,100.0,97.94,98.96,97.0
bbps-2-3,100.0,97.67,98.82,172.0
cecum,98.0,96.71,97.35,152.0
dyed-lifted-polyps,95.33,94.7,95.02,151.0
dyed-resection-margins,94.7,95.97,95.33,149.0
esophagitis-a,61.29,62.3,61.79,61.0
esophagitis-b-d,80.0,71.79,75.68,39.0
hemorrhoids,0.0,0.0,0.0,1.0
ileum,100.0,100.0,100.0,1.0
impacted-stool,82.61,100.0,90.48,19.0
polyps,99.32,94.81,97.01,154.0
pylorus,99.34,100.0,99.67,150.0
retroflex-rectum,91.94,98.28,95.0,58.0
retroflex-stomach,100.0,98.26,99.12,115.0
ulcerative-colitis-grade-0-1,0.0,0.0,0.0,5.0
ulcerative-colitis-grade-1,59.38,63.33,61.29,30.0
ulcerative-colitis-grade-1-2,0.0,0.0,0.0,1.0
ulcerative-colitis-grade-2,69.41,88.06,77.63,67.0
ulcerative-colitis-grade-2-3,0.0,0.0,0.0,4.0
ulcerative-colitis-grade-3,84.62,55.0,66.67,20.0
z-line,87.5,90.0,88.73,140.0
