image_id,filename,relative_path,tract,category,super_category,super_category_id,class_name,class_id,width,height,aspect_ratio,file_size_kb,laplacian_var,mean_brightness,specular_ratio,quality_tag,phash,split
IMG_00325,4dcb0437-f1cd-49ae-a328-22f01f5a103b.jpg,lower-gi-tract/anatomical-landmarks/cecum/4dcb0437-f1cd-49ae-a328-22f01f5a103b.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,635,547,1.161,210.38,326.75,78.16,0.014,Good_Quality,c40a156a16fd5e3e,train
IMG_09793,e0288d92-a9cf-4ba7-ac45-f835c730f2f6.jpg,upper-gi-tract/anatomical-landmarks/z-line/e0288d92-a9cf-4ba7-ac45-f835c730f2f6.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,z-line,22,1349,1071,1.26,746.89,75.08,122.15,0.017,Motion_Blur,c1c31057115b1fdf,train
IMG_09146,2b5075bd-a2a6-46e6-b690-2808262a97ae.jpg,upper-gi-tract/anatomical-landmarks/z-line/2b5075bd-a2a6-46e6-b690-2808262a97ae.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,z-line,22,613,524,1.17,193.28,131.04,144.2,0.144,Good_Quality,8007157f57dc4bf0,train
IMG_08152,eef81ea8-24d3-4159-bf1f-b388ace7145f.jpg,upper-gi-tract/anatomical-landmarks/pylorus/eef81ea8-24d3-4159-bf1f-b388ace7145f.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1221,1012,1.207,681.6,38.58,141.23,0.269,Motion_Blur,c017555b436e0e7b,train
IMG_00709,aecd8059-0145-4487-9295-f47fbaf018dd.jpg,lower-gi-tract/anatomical-landmarks/cecum/aecd8059-0145-4487-9295-f47fbaf018dd.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,633,531,1.192,198.44,453.02,96.35,1.027,Good_Quality,f584c515577b6a28,train
IMG_07915,b12a330e-3613-456d-b8ba-5d6e6c478866.jpg,upper-gi-tract/anatomical-landmarks/pylorus/b12a330e-3613-456d-b8ba-5d6e6c478866.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,613,524,1.17,189.61,168.16,165.42,0.105,Good_Quality,84b415db539b4f64,train
IMG_07331,1e74cd5a-ed59-4fa4-b3c9-e485a8bb0edd.jpg,upper-gi-tract/anatomical-landmarks/pylorus/1e74cd5a-ed59-4fa4-b3c9-e485a8bb0edd.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1225,1012,1.21,936.94,129.73,123.49,0.212,Good_Quality,c4c5059b139393fd,train
IMG_10191,71565ed3-4b6c-4a6b-87d3-bbff72f278a8.jpg,upper-gi-tract/pathological-findings/esophagitis-a/71565ed3-4b6c-4a6b-87d3-bbff72f278a8.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-a,7,1221,1012,1.207,770.11,296.91,140.72,0.365,Good_Quality,943b51ce40e747ce,train
IMG_01944,8506edc0-de73-4142-9fee-38c791a671ab.jpg,lower-gi-tract/pathological-findings/polyps/8506edc0-de73-4142-9fee-38c791a671ab.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,polyps,12,536,530,1.011,25.97,117.27,75.46,0.342,Good_Quality,93c763334c6719d8,train
IMG_07863,a38ee33c-5fd3-4308-a5e1-88b99c731c05.jpg,upper-gi-tract/anatomical-landmarks/pylorus/a38ee33c-5fd3-4308-a5e1-88b99c731c05.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1349,1071,1.26,728.61,82.71,141.72,0.754,Good_Quality,d09515de42dd4e66,train
IMG_02622,c08600c2-a3af-4eb7-9f31-af661e7722c3.jpg,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-1/c08600c2-a3af-4eb7-9f31-af661e7722c3.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,ulcerative-colitis-grade-1,17,623,530,1.175,206.37,146.87,119.07,0.011,Good_Quality,c09d00fa05d61fef,train
IMG_03609,78acd8a1-89a1-4248-9f9a-ac0a2b34d506.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-0-1/78acd8a1-89a1-4248-9f9a-ac0a2b34d506.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-0-1,2,635,548,1.159,234.96,706.87,95.05,0.171,Good_Quality,9503953d543716f3,train
