epoch,train_loss,val_loss,val_acc,val_macro_f1,learning_rate,time_sec
1,0.2994,0.1638,84.94,55.35,,338.4
2,0.1634,0.14,86.44,58.48,,312.2
3,0.1371,0.1474,84.01,56.64,,312.1
4,0.1262,0.1312,87.76,59.89,,312.5
5,0.1122,0.1447,87.95,61.06,,312.1
6,0.1002,0.1349,88.32,62.67,,312.3
7,0.0911,0.1411,87.05,59.86,,312.2
8,0.0833,0.1491,88.27,60.94,,312.6
9,0.0792,0.1501,88.04,61.14,,312.8
10,0.0731,0.1477,87.62,61.77,,312.1
11,0.0662,0.1581,88.84,60.92,,310.6
12,0.0595,0.1549,90.06,62.36,,310.9
13,0.0579,0.1557,88.98,61.98,,310.4
14,0.0547,0.166,89.12,62.15,,310.7
15,0.0505,0.1721,90.53,61.79,,310.4
16,0.0493,0.1738,89.17,61.45,,310.6
17,0.0459,0.1742,89.4,62.29,,310.8
18,0.0454,0.1662,90.24,64.01,,310.6
19,0.0427,0.1722,90.2,62.11,,310.7
20,0.0428,0.1761,90.43,61.61,,310.6
21,0.0417,0.1676,90.1,61.98,,310.6
22,0.0409,0.1735,90.01,61.35,,310.6
23,0.0405,0.1743,90.1,62.02,,310.4
24,0.0403,0.1749,90.29,62.02,,310.8
25,0.0402,0.1766,90.34,62.44,,310.4
26,0.0653,0.1564,86.49,59.69,,310.3
27,0.0842,0.157,87.29,59.73,,310.4
28,0.082,0.1611,86.26,62.52,,310.6
29,0.0708,0.1664,88.18,62.01,,311.3
30,0.0615,0.1622,88.56,61.23,,310.6
31,0.0558,0.1722,88.09,59.88,,310.2
32,0.0496,0.1718,89.07,60.95,,310.6
33,0.0479,0.1784,89.31,61.65,,310.6
34,0.0487,0.1828,89.07,60.72,,310.4
35,0.0474,0.1719,88.09,61.73,,310.5
36,0.0458,0.1684,89.63,61.49,,310.6
37,0.0445,0.1712,89.68,61.58,,310.7
38,0.0439,0.1708,88.88,60.31,,310.5
39,0.0452,0.1843,88.84,61.83,,310.6
40,0.0439,0.1829,88.84,61.99,,310.8
41,0.0433,0.1807,88.56,62.04,,311.2
42,0.0386,0.1762,89.77,62.31,,310.7
43,0.0392,0.1858,90.15,61.78,,311.0
44,0.0392,0.1814,89.21,60.9,,310.3
45,0.0372,0.1827,89.63,61.43,,310.8
46,0.0388,0.1839,90.01,61.74,,310.9
47,0.038,0.1804,88.74,60.82,,311.1
48,0.0368,0.1831,89.54,62.57,,310.6
49,0.0363,0.1821,90.01,62.95,,310.8
50,0.0352,0.1831,89.77,62.7,,310.7
51,0.0357,0.1946,89.35,59.55,,310.5
52,0.0349,0.1953,89.87,61.31,,310.5
53,0.0352,0.1857,89.73,60.64,,310.9
54,0.0341,0.1892,90.2,61.45,,310.8
55,0.0339,0.1957,90.01,60.67,,310.8
56,0.0341,0.1914,89.82,61.26,,310.6
57,0.0331,0.1954,90.15,60.24,,310.5
58,0.033,0.1931,90.38,61.69,,310.4
59,0.0332,0.1902,89.92,61.03,,310.5
60,0.033,0.1887,90.53,61.3,,310.6
61,0.0326,0.192,90.01,60.97,,310.4
62,0.0324,0.1934,90.34,61.86,,310.8
63,0.0325,0.1929,90.15,61.8,,310.7
64,0.0326,0.1894,90.15,61.11,,310.5
65,0.0325,0.1893,90.01,61.09,,310.6
66,0.0321,0.1918,90.24,62.14,,310.6
67,0.0321,0.1909,90.29,61.9,,310.7
68,0.0319,0.1937,90.29,62.26,,310.7
69,0.0318,0.1911,90.06,61.86,,310.7
70,0.0318,0.1945,90.53,62.28,,310.3
71,0.0319,0.1961,90.34,61.66,,310.6
72,0.0318,0.1973,90.48,61.81,,310.5
73,0.0317,0.1973,90.48,62.24,,310.8
74,0.0317,0.1974,90.48,62.26,,310.3
75,0.0317,0.1948,90.71,62.55,,310.6
76,0.0721,0.1792,86.26,57.34,,310.4
77,0.1006,0.1535,86.35,59.22,,310.9
78,0.0759,0.1504,87.71,59.7,,310.8
79,0.0561,0.169,89.07,63.03,,310.5
80,0.0471,0.1645,89.68,63.63,,310.5
81,0.0473,0.1733,89.87,61.72,,310.7
82,0.0499,0.164,88.65,60.27,,310.7
83,0.0418,0.1748,88.79,61.48,,310.6
84,0.0441,0.1693,89.31,62.71,,310.5
85,0.0414,0.1881,89.4,60.4,,310.6
86,0.0409,0.1851,88.74,59.83,,310.5
87,0.0398,0.171,89.77,61.55,,310.5
88,0.042,0.1796,89.31,60.39,,310.7
89,0.0415,0.1828,89.45,62.05,,310.6
90,0.0382,0.1785,89.68,60.45,,310.4
91,0.0369,0.1943,89.21,62.5,,310.1
92,0.038,0.1866,90.1,61.46,,309.8
93,0.0383,0.1936,89.92,60.13,,310.9
94,0.0412,0.19,90.01,60.5,,310.7
95,0.0367,0.1802,89.54,60.8,,310.6
96,0.0381,0.1964,89.07,59.43,,310.7
97,0.0376,0.1766,89.02,59.73,,310.1
98,0.0384,0.1905,89.63,59.33,,310.1
99,0.0371,0.1898,89.31,59.37,,310.4
100,0.0356,0.1932,89.49,59.42,,310.1
