epoch,train_loss,val_loss,val_acc,val_macro_f1,time_sec
1,0.2957,0.166,86.4,56.83,337.4
2,0.1602,0.1439,87.62,58.63,310.0
3,0.1392,0.1428,87.24,57.71,309.8
4,0.1212,0.1347,88.46,63.0,310.3
5,0.1112,0.1314,88.51,61.53,310.7
6,0.0934,0.1363,86.82,59.99,310.4
7,0.0892,0.1401,87.8,59.85,310.5
8,0.0862,0.1445,88.41,60.98,310.7
9,0.0784,0.143,89.21,61.71,310.6
10,0.068,0.1433,89.59,62.21,310.4
11,0.0647,0.1595,90.29,63.97,310.6
12,0.0619,0.1633,89.4,62.07,309.9
13,0.055,0.1667,90.15,60.74,310.3
14,0.0518,0.1628,88.74,60.44,310.0
15,0.05,0.1741,90.48,61.09,309.9
16,0.0503,0.1688,90.01,62.19,309.9
17,0.0471,0.1777,90.48,61.62,309.9
18,0.0444,0.1719,90.53,61.71,310.0
19,0.0432,0.1748,90.67,61.87,310.2
20,0.0429,0.1689,90.38,62.89,310.3
21,0.0412,0.178,90.48,60.72,310.2
22,0.0407,0.1772,90.34,61.17,310.3
23,0.0401,0.1808,90.34,60.54,310.0
24,0.0406,0.1809,90.67,62.03,310.2
25,0.0394,0.1809,90.43,61.35,310.2
26,0.0606,0.1782,87.24,59.44,309.9
27,0.0892,0.1542,88.93,61.76,309.8
28,0.0727,0.1709,89.26,59.17,309.9
29,0.0674,0.1591,89.68,62.54,309.8
30,0.0586,0.1625,87.99,59.74,309.9
31,0.055,0.1661,89.49,61.66,310.0
32,0.0519,0.164,87.38,59.34,310.3
33,0.0549,0.1569,89.49,61.55,310.2
34,0.0498,0.1785,89.07,60.06,310.2
35,0.0536,0.1735,89.07,60.77,310.1
36,0.0505,0.1699,90.2,61.76,310.3
37,0.0434,0.1771,89.68,59.72,310.5
38,0.0441,0.1774,89.77,61.48,309.9
39,0.0418,0.1855,89.96,60.49,309.9
40,0.0421,0.1842,90.2,62.63,309.9
41,0.0427,0.1918,89.68,60.27,310.1
42,0.043,0.1844,90.34,61.36,310.2
43,0.0391,0.1972,90.01,58.49,309.9
44,0.0394,0.1858,90.34,61.38,309.9
45,0.0386,0.1916,89.35,60.85,309.9
46,0.0384,0.1878,90.38,60.85,309.7
47,0.0367,0.1925,90.34,61.49,310.2
48,0.0364,0.189,90.01,59.82,310.4
49,0.0361,0.1995,89.68,59.45,310.7
50,0.0354,0.2015,90.24,59.42,310.1
51,0.0348,0.1997,90.62,60.35,310.3
52,0.0358,0.1918,90.06,60.26,309.8
53,0.035,0.2005,90.53,60.35,310.1
54,0.0342,0.1955,90.43,59.7,309.8
55,0.034,0.1933,90.43,60.84,309.9
56,0.0346,0.1991,90.81,60.83,310.0
57,0.0336,0.1976,90.06,59.49,309.9
58,0.0332,0.1975,90.57,59.58,310.5
59,0.0327,0.1966,90.43,59.62,310.3
60,0.0327,0.1952,90.71,59.58,310.1
61,0.0329,0.1984,90.53,59.65,310.5
62,0.0329,0.1979,90.38,59.51,309.9
63,0.0324,0.2014,90.76,60.31,310.7
64,0.0329,0.1947,90.76,61.66,310.2
65,0.0324,0.1962,90.9,61.58,310.1
66,0.032,0.1996,90.95,60.67,310.4
67,0.0321,0.1992,90.95,61.68,310.0
68,0.032,0.1992,90.95,61.73,309.7
69,0.0317,0.1987,91.04,61.59,309.8
70,0.0316,0.1995,91.18,61.83,309.8
71,0.0318,0.1993,90.81,60.67,310.0
72,0.0315,0.1994,90.9,61.56,309.6
73,0.0316,0.1981,91.09,61.8,310.0
74,0.0316,0.1968,91.04,61.69,309.8
75,0.0317,0.1999,90.9,61.59,310.1
76,0.0754,0.1851,83.86,55.14,310.0
77,0.0911,0.1714,88.13,57.69,310.4
78,0.0677,0.1594,89.02,60.13,310.0
79,0.0551,0.1884,88.6,59.57,309.9
80,0.0507,0.1798,89.68,59.28,310.0
81,0.0442,0.1769,89.73,59.81,309.9
82,0.0415,0.1893,89.59,60.83,310.2
83,0.0433,0.1811,90.2,60.28,310.0
84,0.0386,0.1955,90.67,60.33,310.0
85,0.0399,0.1925,89.26,61.13,310.5
86,0.0387,0.2064,89.73,59.52,310.3
87,0.0424,0.1827,89.35,58.82,310.6
88,0.042,0.1806,89.12,59.75,310.5
89,0.044,0.1812,89.02,59.3,310.2
90,0.041,0.2073,89.21,58.64,310.3
91,0.0404,0.1824,88.32,59.02,310.3
92,0.0394,0.1904,88.51,59.34,310.0
93,0.0389,0.1928,89.87,60.32,310.0
94,0.0365,0.1903,90.01,61.39,309.9
95,0.0384,0.1968,89.59,60.27,310.0
96,0.0358,0.1934,90.15,59.98,310.1
97,0.0353,0.1978,89.59,58.31,310.3
98,0.0349,0.2052,89.49,58.53,309.9
99,0.0361,0.1946,89.82,59.76,310.2
100,0.0356,0.1976,90.43,61.45,310.0
