epoch,train_loss,val_loss,val_acc,val_macro_f1,learning_rate,time_sec
1,1.4867,0.9445,87.99,55.57,0.0001,289.5
2,0.9513,0.9221,88.24,56.3,0.0001,257.4
3,0.8913,0.8789,89.68,57.55,0.0001,257.8
4,0.864,0.8604,90.56,58.6,0.0001,257.8
5,0.8401,0.8754,89.81,58.78,0.0001,257.6
6,0.8197,0.8738,89.81,57.18,9.9e-05,257.8
7,0.8016,0.8706,90.49,57.83,9.9e-05,257.7
8,0.7868,0.884,89.74,61.43,9.9e-05,257.3
9,0.7836,0.8807,89.37,58.55,9.8e-05,257.7
10,0.7697,0.8714,90.12,60.08,9.8e-05,257.7
11,0.7502,0.8995,89.43,58.49,9.8e-05,257.5
12,0.7554,0.8757,89.68,60.36,9.7e-05,257.6
13,0.7333,0.9095,89.81,60.43,9.7e-05,257.8
14,0.7249,0.8945,89.24,58.65,9.6e-05,257.8
15,0.7213,0.8878,90.31,61.85,9.5e-05,257.9
16,0.7107,0.8926,89.56,58.72,9.5e-05,257.4
17,0.7054,0.9029,89.74,60.06,9.4e-05,257.6
18,0.7007,0.9278,89.56,60.76,9.3e-05,257.6
19,0.693,0.9211,88.81,59.42,9.2e-05,257.6
20,0.6905,0.9077,89.56,60.52,9.1e-05,257.9
21,0.6865,0.9002,90.12,61.58,9.1e-05,257.5
22,0.6773,0.9001,89.93,62.04,9e-05,257.7
23,0.6788,0.9092,89.93,60.39,8.9e-05,257.7
24,0.6732,0.9016,90.31,59.8,8.8e-05,257.8
25,0.6674,0.9171,89.93,58.4,8.7e-05,257.7
26,0.6662,0.9486,89.56,59.91,8.6e-05,257.8
27,0.6663,0.9235,90.31,61.49,8.4e-05,257.7
28,0.6657,0.9475,88.99,60.57,8.3e-05,257.7
29,0.6648,0.9328,89.24,59.32,8.2e-05,257.6
30,0.6542,0.9362,90.06,61.3,8.1e-05,257.4
31,0.6582,0.9466,90.06,59.44,8e-05,257.6
32,0.6548,0.9358,89.56,59.82,7.8e-05,257.8
33,0.6512,0.9377,90.24,59.62,7.7e-05,257.6
34,0.6526,0.9286,89.87,60.59,7.6e-05,257.7
35,0.6495,0.9393,89.87,60.89,7.4e-05,257.6
36,0.6474,0.9243,90.31,63.0,7.3e-05,257.5
37,0.6533,0.955,89.43,60.91,7.2e-05,257.6
38,0.6503,0.9283,90.06,59.43,7e-05,257.6
39,0.6472,0.897,90.56,61.35,6.9e-05,257.5
40,0.643,0.9235,90.24,60.63,6.7e-05,257.6
41,0.6417,0.9242,90.87,62.61,6.6e-05,257.7
42,0.6392,0.9212,90.56,59.79,6.4e-05,257.7
43,0.6427,0.9256,90.18,60.77,6.3e-05,257.9
44,0.6425,0.924,90.18,59.58,6.1e-05,257.6
45,0.6375,0.9368,90.18,60.61,6e-05,257.6
46,0.6397,0.9489,89.49,59.36,5.8e-05,257.6
47,0.6404,0.9612,89.68,58.56,5.7e-05,257.6
48,0.6386,0.9479,89.74,59.02,5.5e-05,258.0
49,0.6346,0.9578,90.06,60.81,5.4e-05,257.6
50,0.6349,0.9525,89.56,59.94,5.2e-05,257.9
51,0.6347,0.9456,90.12,59.52,5.1e-05,257.5
52,0.6358,0.9388,90.06,59.47,4.9e-05,257.8
53,0.6371,0.9347,89.87,59.29,4.7e-05,257.6
54,0.6327,0.931,90.06,59.43,4.6e-05,257.4
55,0.6318,0.9219,90.31,61.13,4.4e-05,257.8
56,0.6336,0.9432,89.93,59.44,4.3e-05,257.6
57,0.6302,0.9499,90.24,59.03,4.1e-05,257.7
58,0.6292,0.9363,90.37,60.67,4e-05,257.8
59,0.6305,0.9367,90.31,59.61,3.8e-05,257.8
60,0.6269,0.9521,90.24,59.51,3.7e-05,257.7
61,0.6291,0.9446,90.81,60.93,3.5e-05,257.6
62,0.6298,0.9306,90.37,59.86,3.4e-05,257.5
63,0.6262,0.9414,90.43,60.49,3.2e-05,257.5
64,0.627,0.9475,89.93,59.89,3.1e-05,257.8
65,0.6259,0.9485,90.62,60.74,2.9e-05,257.7
66,0.6265,0.9423,90.31,60.43,2.8e-05,257.6
67,0.6272,0.948,90.24,60.68,2.7e-05,257.5
68,0.626,0.9522,90.43,61.25,2.5e-05,257.5
69,0.6231,0.9497,90.24,61.1,2.4e-05,257.6
70,0.6241,0.9421,90.31,60.4,2.3e-05,257.9
71,0.6233,0.9467,90.74,61.0,2.1e-05,257.7
72,0.6231,0.9549,90.49,60.08,2e-05,257.5
73,0.6234,0.9502,89.99,58.96,1.9e-05,257.6
74,0.6228,0.9482,90.06,58.65,1.8e-05,257.6
75,0.6239,0.9456,90.31,59.05,1.7e-05,257.7
76,0.6235,0.9409,90.43,59.75,1.5e-05,257.5
77,0.6231,0.9495,90.31,60.57,1.4e-05,257.6
78,0.6224,0.9482,90.06,58.61,1.3e-05,257.7
79,0.6213,0.9481,90.24,58.82,1.2e-05,257.7
80,0.6223,0.9501,90.37,59.11,1.1e-05,257.6
81,0.6225,0.9479,90.24,59.25,1e-05,257.8
82,0.6214,0.9459,90.18,58.81,1e-05,257.7
83,0.6207,0.9509,90.37,58.84,9e-06,257.7
84,0.621,0.9478,90.37,59.75,8e-06,257.5
85,0.6211,0.9481,90.06,60.03,7e-06,257.7
86,0.6201,0.9471,90.12,58.89,6e-06,257.6
87,0.6201,0.9456,90.49,59.1,6e-06,257.7
88,0.6212,0.9477,90.31,59.69,5e-06,257.8
89,0.6198,0.9447,90.18,59.19,4e-06,257.5
90,0.6199,0.9448,90.37,59.2,4e-06,257.5
91,0.6202,0.9494,90.37,59.57,3e-06,257.6
92,0.6203,0.9413,90.56,59.87,3e-06,257.6
93,0.6201,0.9471,90.62,59.37,3e-06,257.6
94,0.6201,0.9441,90.37,59.19,2e-06,257.6
95,0.6202,0.941,90.74,60.61,2e-06,257.7
96,0.6202,0.9435,90.43,61.09,2e-06,257.3
97,0.6195,0.9441,90.24,58.72,1e-06,257.8
98,0.6192,0.9445,90.43,59.91,1e-06,257.6
99,0.6196,0.9485,90.43,59.89,1e-06,257.6
100,0.619,0.9433,90.43,59.73,1e-06,257.5
