epoch,train_loss,val_loss,val_acc,val_macro_f1,learning_rate,time_sec
1,0.3298,0.175,83.68,54.12,0.00015,327.8
2,0.1562,0.1564,84.93,55.66,0.000149,271.7
3,0.1289,0.1527,85.87,59.31,0.000148,271.7
4,0.107,0.1551,87.18,57.79,0.000145,271.1
5,0.1051,0.1405,86.68,57.72,0.000141,270.8
6,0.0922,0.146,86.87,60.29,0.000136,271.2
7,0.0797,0.1436,88.24,62.03,0.00013,271.3
8,0.0755,0.1592,87.37,59.57,0.000124,271.0
9,0.0651,0.1567,88.74,60.7,0.000116,271.0
10,0.0572,0.1675,87.87,59.0,0.000108,271.7
11,0.0509,0.1803,88.56,58.99,0.0001,270.9
12,0.0506,0.1681,89.12,60.04,9.1e-05,270.7
13,0.0446,0.1626,89.31,63.13,8.2e-05,270.8
14,0.0417,0.1727,89.06,60.81,7.3e-05,270.8
15,0.0351,0.1851,88.68,60.03,6.4e-05,271.3
16,0.0355,0.1781,89.18,59.13,5.5e-05,271.0
17,0.0325,0.1852,88.49,58.9,4.7e-05,270.6
18,0.0327,0.1881,89.24,59.47,3.9e-05,270.7
19,0.0294,0.1898,89.06,59.73,3.1e-05,270.9
20,0.0287,0.1946,89.12,59.77,2.5e-05,270.9
21,0.0291,0.196,89.12,60.04,1.9e-05,271.3
22,0.0282,0.1989,88.99,59.2,1.4e-05,270.9
23,0.0278,0.1994,89.12,59.11,1e-05,270.9
24,0.0277,0.2014,89.18,59.32,7e-06,271.8
25,0.0268,0.1983,89.12,60.06,6e-06,271.1
26,0.0471,0.1882,85.74,57.11,0.00015,270.6
27,0.0764,0.16,85.12,58.6,0.00015,270.9
28,0.071,0.1755,88.56,57.64,0.000149,271.3
29,0.0567,0.1677,86.05,58.92,0.000149,271.1
30,0.0496,0.1916,88.37,59.22,0.000148,271.1
31,0.0429,0.1787,89.31,59.97,0.000146,270.9
32,0.0412,0.1936,88.37,61.11,0.000145,270.9
33,0.0405,0.1938,88.06,58.74,0.000143,269.4
34,0.0371,0.1894,88.18,59.43,0.000141,271.1
35,0.0378,0.1777,88.93,59.64,0.000139,270.9
36,0.0356,0.2029,89.31,59.19,0.000136,271.2
37,0.0322,0.2004,88.49,59.44,0.000133,271.1
38,0.0328,0.1941,89.18,59.8,0.00013,271.3
39,0.0289,0.2076,89.56,60.72,0.000127,271.1
40,0.0283,0.2026,89.43,58.24,0.000124,270.6
41,0.0272,0.2175,89.31,59.38,0.00012,270.9
42,0.0251,0.2141,88.62,59.29,0.000116,271.2
43,0.0257,0.2168,89.74,58.83,0.000112,271.8
44,0.0245,0.2316,90.06,59.69,0.000108,271.3
45,0.0256,0.2084,89.24,58.53,0.000104,272.0
46,0.0248,0.2226,89.49,58.56,0.0001,271.0
47,0.028,0.208,88.43,58.15,9.6e-05,271.1
48,0.0245,0.2308,88.18,57.3,9.1e-05,270.7
49,0.0239,0.2272,89.62,58.38,8.7e-05,271.0
50,0.0232,0.2246,88.81,57.76,8.2e-05,270.7
51,0.0241,0.2247,89.31,58.56,7.7e-05,271.1
52,0.0228,0.2205,88.18,58.69,7.3e-05,271.4
53,0.0242,0.2225,89.87,60.84,6.8e-05,270.9
54,0.0219,0.2103,89.56,58.89,6.4e-05,270.8
55,0.0219,0.2242,89.68,60.59,5.9e-05,270.9
56,0.0213,0.2184,89.37,61.16,5.5e-05,271.2
57,0.0212,0.2344,90.06,61.3,5.1e-05,270.7
58,0.0212,0.2207,89.49,59.35,4.7e-05,271.3
59,0.0207,0.2225,89.81,60.55,4.3e-05,270.9
60,0.0208,0.2364,89.93,60.25,3.9e-05,270.4
61,0.0205,0.2262,89.68,59.45,3.5e-05,270.9
62,0.0205,0.2343,89.81,60.78,3.1e-05,270.7
63,0.0202,0.233,89.99,61.11,2.8e-05,270.8
64,0.0199,0.2339,89.62,60.1,2.5e-05,271.1
65,0.0205,0.2338,89.74,60.05,2.2e-05,271.3
66,0.0202,0.2328,89.74,59.92,1.9e-05,271.7
67,0.0197,0.2364,89.87,60.05,1.6e-05,271.3
68,0.0199,0.2351,89.87,60.24,1.4e-05,270.8
69,0.0195,0.2366,89.93,59.92,1.2e-05,270.7
70,0.0196,0.234,90.06,60.69,1e-05,271.1
71,0.0196,0.237,89.81,59.92,9e-06,270.8
72,0.0198,0.2393,89.74,59.81,7e-06,270.8
73,0.0195,0.2344,89.99,60.07,6e-06,271.4
74,0.0193,0.2386,89.99,60.06,6e-06,271.1
75,0.0195,0.2384,89.99,60.33,5e-06,270.5
76,0.0623,0.1882,84.68,56.99,0.00015,271.2
77,0.081,0.181,84.55,56.66,0.00015,270.8
78,0.0509,0.1971,87.24,57.87,0.00015,271.3
79,0.042,0.1895,88.56,60.02,0.00015,271.2
80,0.0353,0.1816,89.18,60.21,0.000149,271.5
81,0.034,0.2045,88.87,57.69,0.000149,271.1
82,0.0323,0.2155,88.43,57.25,0.000149,270.7
83,0.0299,0.1899,88.62,59.35,0.000148,271.0
84,0.0329,0.1912,87.99,59.84,0.000148,270.7
85,0.0317,0.196,87.43,58.03,0.000147,271.0
86,0.0334,0.2078,88.68,58.75,0.000146,270.9
87,0.0295,0.2184,88.74,59.03,0.000146,270.7
88,0.0271,0.2049,89.06,58.66,0.000145,271.5
89,0.0256,0.2087,88.56,58.8,0.000144,271.1
90,0.025,0.2022,88.68,58.01,0.000143,271.3
91,0.0246,0.2074,88.81,58.31,0.000142,271.0
92,0.0275,0.2092,88.74,59.04,0.000141,270.9
93,0.0264,0.1987,89.12,58.53,0.00014,271.1
94,0.0239,0.2043,89.06,58.99,0.000139,271.9
95,0.0243,0.2136,88.81,58.9,0.000137,270.9
96,0.0248,0.2104,89.18,58.38,0.000136,270.9
97,0.0234,0.2131,89.31,59.64,0.000135,270.9
98,0.0263,0.2266,89.56,58.84,0.000133,271.1
99,0.0235,0.2238,89.37,58.88,0.000132,271.0
100,0.0239,0.2306,89.43,58.3,0.00013,271.1
